1.310000000000000000e+02,4.010000000000000000e+02
1.760000000000000000e+02,3.600000000000000000e+02
2.380000000000000000e+02,3.340000000000000000e+02
3.020000000000000000e+02,3.100000000000000000e+02
3.790000000000000000e+02,3.330000000000000000e+02
4.470000000000000000e+02,3.330000000000000000e+02
5.290000000000000000e+02,3.650000000000000000e+02
6.060000000000000000e+02,4.070000000000000000e+02
5.460000000000000000e+02,4.250000000000000000e+02
4.410000000000000000e+02,3.980000000000000000e+02
3.380000000000000000e+02,3.890000000000000000e+02
2.560000000000000000e+02,4.010000000000000000e+02
1.970000000000000000e+02,4.250000000000000000e+02
1.250000000000000000e+02,4.240000000000000000e+02
